Sigit GS;b'@supri4d1 #mudikdilarang wedi dicokot korona ...iso matek aku\xf0\x9f\x98\x85\xf0\x9f\x98\x82'
Syahrul;b'RT @dishub_aceh: Pasca terbitnya Surat Edaran Satgas Covid-19 No. 13 Tahun 2021 tentang larangan mudik lebaran 1442 Hijriah, sejumlah loket\xe2\x80\xa6'
Syahrul;b'RT @dishub_aceh: Meski larangan mudik telah disosialisasikan jauh-jauh hari, sejumlah kendaraan, baik angkutan umum maupun pribadi masih te\xe2\x80\xa6'
BERITAMINANG;b'Ini Syarat Menyeberang ke Pulau Jawa di Pelabuhan Bakauheni Lampung Pasca Idul Fitri #Covid_19 #COVID19 #COVID #MudikDilarang #MudikLebaran2021 https://t.co/WlE5ZxsDGn'
